SN, Student Name, ID No, Assessment, Exam Score
1,  AMOWOGBAJE Eunice Babalola, 1,0,0
2, AJAYI Kehinde Festus, 2,0,0
3, ALAO Titus badmus, 3,0,0
4, LAYI Glover Faith, 4,0,0
5, LEO kintus fayi, 5,0,0
6, SANNI kasali seyi, 6,0,0
7, FEMI Temi Sam, 7,0,0
8, AKILLA Yemi segun, 8,0,0
9, MAKINWA Mercy Leye, 9,0,0
10, KAYODE Olami Muyiwa, 10,0,0
11, AJAYI Akin Joseph, 11,0,0
12, AFOLABI Samuel Goodness, 12,0,0
13, OLAGUNJU Yinka Adeola, 13,0,0
14, DAPA Kinsley Jonathan, 14,0,0
15, OPE Funmi Glory, 15,0,0
16, SAMUEL Taiwo Femi, 16,0,0
17, LEO Praise Damilola, 17,0,0
18, FAGBAMILA John Akin, 18,0,0
19, ADIMULA Rukayat Funmi, 19,0,0
20, KEHINDE Adewale Kazeem, 20,0,0
21, LASISI Ibrahim Kunle, 21,0,0
