sn, parent_name, student_name,Sex,Class, email, phone, phone2, birthdate
1, Mr.| Amowogbaje Gideon Ifedayo,AMOWOGBAJE Gideon Ifedayo,Female,1A, amowogbajegideon@gmail.com,8174007784,7045673242,4-Sep
2,Mrs.| Ajayi Femi Olowabi ,AJAYI Kehinde Festus,Male,1A,ajayifemi@gmail.com,7064428515,8012154856,5-Jan
3,Mr.| Alao kunmi felix,ALAO Titus badmus,Male,1A,alaokunmi@gmail.com,7056895256,7025632545,8-Jun
4,Mr.| Layi hindu kanmi,LAYI Glover Faith,Male,1A,layihindu@gmail.com,1852569852,8125658974,10-Mar
5,Mr.| Leo Lamidi wemimo,LEO kintus fayi,Female,1A,leolamidi@gmail.com,7025632541,8142569874,7-Nov
6,Mr.| Sanni lateef Ope,SANNI kasali seyi,Male,1A,sannilateef@gmail.com,8025652436,8025652145,4-Nov
7,Mr.| Femi Seun maxwell,FEMI Temi Sam,Female,1A,femimaxwell@gmail.com,8125698745,7025639858,2-Mar
8,Mr.| Akilla Samuel Leke,AKILLA Yemi segun,Male,1A,akillasamuel@gmail.com,7025469854,8025658954,3-Jun
9,Mrs.| Makinwa Grace kemi,MAKINWA Mercy Leye,Female,1A,makinwagrace@gmail.com,8025659856,8025658952,15-Feb
10,Mrs.| Kayode Lara Funmi,KAYODE Olami Muyiwa,Male,1B,kayodelara@gmail.com,7054258962,8025652541,12-Feb
11,Mrs.| Ajayi Yetunde Christianah,AJAYI Akin Joseph,Male,1B,ajayibyc@gmail.com,7054254152,7041528963,15-Apr
12,Mr.| Afolabi Temi Sam,AFOLABI Samuel Goodness,Male,1B,afolabisam@gmail.com,7045124563,7025568956,23-Jul
13,Mr| Olagunju Jonathan King,OLAGUNJU Yinka Adeola,Female,1B,olagunjuy@gmail.com,8056231456,8052632145,14-Mar
14,Mr.| Dapa Felix Glory,DAPA Kinsley Jonathan,Male,1B,dapafelix@gmail.com,8152456985,8125456985,20-Feb
15,Mr.| Ope Akinwumi Femi,OPE Funmi Glory,Female,1B,opevoa@gmail.com,7054698523,8025698545,22-Aug
16,Mr.| Samuel Adio Gabriel,SAMUEL Taiwo Femi,Male,1B,samueladio@gmail.com,7058985623,8025632145,15-Oct
17,Mr.| Leo Segun Melody,LEO Praise Damilola,Male,1B,leosegun@gmail.com,8056241236,7025645263,9-Nov
18,Mr.| Fagbamila Leke James,FAGBAMILA John Akin,Male,1B,fagbamilag@gmail.com,8025632541,8056234125,19-Nov
19,Mrs.| Adimula Sadiat Kemi,ADIMULA Rukayat Funmi,Female,1B,adimulalara@gmail.com,8056412563,8025412563,18-Jan
20,Mrs.| Kehinde Kadijat Ife,KEHINDE Adewale Kazeem,Male,1C,kehindeife@gmail.com,7045214596,7056235641,22-Mar
21,Mr.| Lasisi Kadri faye,LASISI Ibrahim Kunle,Male,1C,lasisikazeem@gmail.com,8052166582,7045852136,16-Nov
22,Mr.| Uchenna Sunday Enechaziam,UCHENNA Obioma Kingsley,Male,1C,uchennasunday@gmail.com,8152469856,1236548789,12-Oct
23,Mr.| John Mathew Felix,JOHN Festus Racheal,Male,1C,johnfestus@gmail.com,1254782965,1478522692,22-May
24,Mr.| Ehissy Igeraese Kaka,EHISSY Idowu Texy,Female,1C,ehissyidowu@gmail.com,1200569874,1632555845,10-Jun
25,Mr.| Hugochuqu Merlin Gachi,HUGOCHUQU Eze Lerun,Male,1C,hugochuqul@gmail.com,8560235245,8152456325,5-Jan
26,Mr.| Adeyemo Peter Luke,ADEYEMO Castrol Ope,Male,1C,adeyemoope@gmail.com,1236258547,8455669987,8-Jan
27,Mr.| Ademola Sogo Emma,ADEMOLA Manduke mercy,Male,1C,ademolamercy@gmail.com,8452569852,5155896523,9-Feb
28,Mr.| Adeola Akerele Leone,ADEOLA Noah Kehinde,Male,1C,adeolanoah@gmail.com,8452563214,8145623589,16-Apr
29,Mr.| Olaoye Gideon Ayo,OLAOYE Jesu Seun,Female,1C,olaoyeseun@gmail.com,8154778965,8156325689,12-Jun
30,Mr.| Victor Agu Kenoye,VICTOR Deji Aleshy,Female,2A,victoragu@gmail.com,8152639875,7056895263,27-Dec
31,Mr.| Nelson Olufemi Borode,NELSON Keke kuku,Female,2A,nelsonkuku@gmail.com,8052632514,7056223125,19-Mar
